,UF,Município,População,Casos novos notificados na semana epidemiológica,Casos Acumulados,Incidência covid-19 (100 mil hab),Óbitos novos notificados na semana epidemiológica,Óbitos Acumulados,Taxa mortalidade (100 mil hab),Letalidade (%), Casos por 100 mil (recalc),Óbitos por 100 mil (recalc)
220,BA,Anguera,11221,0,808,,0,6,,0.7425742574257426,7200.784243828535,53.47117012743962
221,BA,Antas,19291,0,1509,,0,15,,0.9940357852882704,7822.3005546627965,77.75646674615105
222,BA,Antônio Cardoso,11683,0,1244,,0,13,,1.045016077170418,10647.950012839168,111.27278952323888
223,BA,Antônio Gonçalves,11798,0,1303,,0,12,,0.920951650038373,11044.244787252077,101.712154602475
224,BA,Aporá,17731,0,742,,0,26,,3.5040431266846364,4184.761152783261,146.6358355422706
225,BA,Apuarema,7330,0,971,,0,13,,1.3388259526261586,13246.93042291951,177.35334242837652
226,BA,Araçás,12177,0,1106,,0,16,,1.4466546112115732,9082.696887574937,131.39525334647286
227,BA,Aracatu,13135,0,1503,,0,23,,1.5302727877578177,11442.710315949753,175.1046821469357
228,BA,Araci,54379,0,4848,,0,65,,1.3407590759075907,8915.206237702054,119.53143676786993
229,BA,Aramari,11397,0,1099,,0,16,,1.4558689717925388,9642.88847942441,140.38782135649734
230,BA,Arataca,11019,0,985,,0,17,,1.7258883248730965,8939.105181958435,154.2789726835466
231,BA,Aratuípe,8825,0,1244,,0,15,,1.2057877813504823,14096.317280453257,169.97167138810198
232,BA,Aurelino Leal,11531,0,1405,,0,41,,2.9181494661921707,12184.546006417484,355.56326424421127
233,BA,Baianópolis,13877,0,1398,,0,27,,1.9313304721030045,10074.223535346257,194.56654896591482
234,BA,Baixa Grande,20468,0,1509,,0,29,,1.9218025182239893,7372.483877271839,141.6845808090678
235,BA,Banzaê,13229,0,1521,,0,14,,0.9204470742932281,11497.467684632247,105.82810492100688
236,BA,Barra,53578,0,3720,,0,72,,1.935483870967742,6943.148307140991,134.38351562208368
237,BA,Barra da Estiva,20598,0,4046,,0,39,,0.9639149777558081,19642.68375570444,189.33877075444218
238,BA,Barra do Choça,31603,0,3137,,0,48,,1.5301243226012113,9926.272822200424,151.8843147802424
239,BA,Barra do Mendes,13865,0,1690,,0,24,,1.4201183431952662,12188.965019834115,173.0977280923188
240,BA,Barra do Rocha,5714,0,916,,0,8,,0.8733624454148471,16030.801540077002,140.0070003500175
241,BA,Barreiras,155439,0,27929,96.50087815799124,0,360,0.0,1.288982777757886,17967.82017383025,231.60210757917898
242,BA,Barro Alto,14931,0,1403,,0,17,,1.2116892373485388,9396.557497823322,113.85707588239234
243,BA,Barro Preto,5591,0,807,,0,15,,1.858736059479554,14433.91164371311,268.2883205151136
244,BA,Barrocas,15978,0,1228,,0,31,,2.5244299674267103,7685.567655526349,194.01677306296156
245,BA,Belmonte,23328,0,2031,,0,34,,1.674052191038897,8706.275720164609,145.74759945130316
246,BA,Belo Campo,17211,0,1441,,0,24,,1.6655100624566272,8372.55243739469,139.44570332926617
247,BA,Biritinga,15979,0,1184,,0,14,,1.1824324324324325,7409.725264409538,87.61499468051818
248,BA,Boa Nova,12633,0,1413,,0,23,,1.627742392073602,11184.991688435051,182.06285126256628
249,BA,Boa Vista do Tupim,18576,0,325,,0,15,,4.615384615384616,1749.5693367786391,80.74935400516796
